Designator,Mid X,Mid Y,Rotation,Layer
D1,110.132835,-46.434377,270.0,top
D10,202.5,-46.434414,270.0,top
D11,208.25,-46.5,270.0,top
D12,113.10947,-48.220353,270.0,top
D13,125.01573,-48.220353,270.0,top
D14,136.92199,-48.220353,270.0,top
D15,148.82825,-48.220353,270.0,top
D16,160.73451,-48.220353,270.0,top
D17,169.664205,-48.220353,270.0,top
D18,178.5939,-48.220353,270.0,top
D19,187.523595,-48.220353,270.0,top
D2,122.039165,-46.434414,270.0,top
D20,196.45329,-48.220353,270.0,top
D21,205.382985,-48.220353,270.0,top
D22,116.086035,-50.006292,270.0,top
D23,127.992295,-50.006292,270.0,top
D24,139.898555,-50.006292,270.0,top
D25,151.75,-49.75,270.0,top
D26,163.75,-50.0,270.0,top
D27,172.5,-50.0,270.0,top
D28,181.5,-50.0,270.0,top
D29,190.5,-50.0,270.0,top
D3,133.945335,-46.434414,270.0,top
D30,199.5,-50.0,270.0,top
D31,119.0626,-51.792231,270.0,top
D32,130.96886,-51.792231,270.0,top
D33,142.87512,-51.792231,270.0,top
D34,154.78138,-51.792231,270.0,top
D4,146.0,-46.5,270.0,top
D5,157.75,-46.25,270.0,top
D6,166.75,-46.25,270.0,top
D7,175.5,-46.25,270.0,top
D8,184.54703,-46.434414,270.0,top
D9,193.5,-46.434414,270.0,top
H1,247.65,-38.1,0.0,top
H2,50.00625,-38.1,0.0,top
H3,221.45625,-128.5875,0.0,top
H4,85.725,-128.5875,0.0,top
S1,52.3875,-71.65375,0.0,top
S10,223.8375,-71.65375,0.0,top
S11,242.8875,-71.65375,0.0,top
S12,54.76875,-90.70375,0.0,top
S13,76.2,-90.70375,0.0,top
S14,95.25,-90.70375,0.0,top
S15,114.3,-90.70375,0.0,top
S16,133.35,-90.70375,0.0,top
S17,152.4,-90.70375,0.0,top
S18,171.45,-90.70375,0.0,top
S19,190.5,-90.70375,0.0,top
S2,71.4375,-71.65375,0.0,top
S20,209.55,-90.70375,0.0,top
S21,228.6,-90.70375,0.0,top
S22,59.53125,-109.75375,0.0,top
S23,85.725,-109.75375,0.0,top
S24,104.775,-109.75375,0.0,top
S25,123.825,-109.75375,0.0,top
S26,142.875,-109.75375,0.0,top
S27,161.925,-109.75375,0.0,top
S28,180.975,-109.75375,0.0,top
S29,200.025,-109.75375,0.0,top
S3,90.4875,-71.65375,0.0,top
S30,230.98125,-109.75375,0.0,top
S31,114.3,-128.80375,0.0,top
S32,152.4,-128.80375,0.0,top
S33,183.35625,-128.80375,0.0,top
S34,202.40625,-128.80375,0.0,top
S4,109.5,-71.65375,0.0,top
S5,128.58,-71.65375,0.0,top
S6,147.6375,-71.65375,0.0,top
S7,166.6875,-71.65375,0.0,top
S8,185.7375,-71.65375,0.0,top
S9,204.7875,-71.65375,0.0,top
U1,58.86,-51.63,90.0,top
